year,make,model,condition,transmission,body,color,interior,odometer,mmr,Vacant,sellingprice
2013,Infiniti,G Coupe,4.5,automatic,G Coupe,black,beige,21126,25100,43,26500
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,blue,black,26675,22500,43,23750
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,white,black,19978,23300,38,24500
2013,Infiniti,FX,4.3,automatic,SUV,black,black,10532,30800,43,32000
2013,Infiniti,G Sedan,4.1,automatic,G Sedan,blue,black,25859,22700,43,21750
2013,Hyundai,Santa Fe,5,automatic,SUV,white,gray,14974,28300,6,27000
2013,Hyundai,Genesis,4.7,automatic,Sedan,gray,black,21463,27100,43,27400
2013,Hyundai,Equus,4.1,automatic,Sedan,gray,black,22961,31500,43,25000
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,â€”,black,21144,23100,43,24250
2013,Hyundai,Elantra,2.6,automatic,Sedan,red,beige,56651,10250,43,10700
2013,Hyundai,Santa Fe,5,automatic,SUV,white,brown,11439,28500,43,30800
2013,Hyundai,Elantra,4.4,automatic,Sedan,silver,gray,39935,11250,43,11000
2013,Infiniti,G Coupe,4.1,automatic,G Coupe,gray,black,20317,25200,40,26250
2013,Hyundai,Elantra,2,automatic,Sedan,silver,gray,37436,11400,38,8800
2013,Infiniti,G Sedan,3.5,automatic,G Sedan,white,gray,26888,22400,42,23250
2013,Infiniti,G Coupe,4.8,automatic,G Coupe,white,black,7815,26800,43,27000
2013,Hyundai,Sonata,4.3,automatic,Sedan,silver,gray,54830,10950,43,11500
2013,Hyundai,Elantra,4.9,manual,Sedan,white,beige,2606,13450,43,12300
2013,Hyundai,Sonata,3.9,automatic,Sedan,blue,gray,36416,12150,43,11400
2013,Hyundai,Elantra,4.5,automatic,Sedan,black,beige,26412,12050,43,11750
2013,Hyundai,Sonata Hybrid,2.1,automatic,Sedan,silver,gray,11099,19650,43,16500
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,black,black,11250,24300,43,23500
2013,Hyundai,Sonata Hybrid,4.8,automatic,Sedan,white,gray,16386,18000,43,18800
2013,Hyundai,Santa Fe,4.8,automatic,SUV,gray,gray,20663,19500,43,19200
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,gray,black,16154,23700,43,22750
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,gray,gray,22405,23000,7,23000
2013,Infiniti,G Sedan,3.8,automatic,G Sedan,silver,black,28172,22300,26,21000
2013,Infiniti,G Sedan,4.7,automatic,G Sedan,white,black,18600,23400,31,24750
2013,Infiniti,G Coupe,4.3,automatic,G Coupe,â€”,black,17523,25600,43,26500
2013,Infiniti,G Sedan,4,automatic,G Sedan,black,black,11440,24300,43,23000
2013,Hyundai,Sonata,3.6,automatic,Sedan,gray,gray,28231,12650,43,13400
2013,Hyundai,Santa Fe,4.2,automatic,SUV,black,brown,13225,23400,43,26000
2013,Hyundai,Sonata,3.5,automatic,Sedan,gray,gray,41888,11800,43,11900
2013,Hyundai,Sonata,3.7,automatic,Sedan,black,beige,35428,16000,2,16200
2013,Hyundai,Elantra,3.5,automatic,Sedan,gray,gray,36307,11500,43,11700
2013,Hyundai,Sonata Hybrid,4.6,automatic,Sedan,black,beige,13736,18350,43,17700
2013,Hyundai,Elantra,2,automatic,Sedan,gold,beige,25442,12150,7,6700
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,white,black,15208,23800,43,25250
2013,Infiniti,G Sedan,2.5,automatic,G Sedan,white,gray,10929,24700,24,21000
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,white,black,29672,22100,43,23000
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,black,beige,22165,23000,43,22750
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,black,beige,21263,23100,43,22000
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,gray,black,24971,22900,43,21250
2013,Hyundai,Elantra,4.5,automatic,Sedan,white,beige,37290,11400,43,11000
